coin_name,current_price_usd,24h_high_usd,24h_low_usd,24h_trade_volume_usd,market_cap_usd,market_change_percentage_24h,market_rank,circulating_supply,total_supply,last_updated,retrieval_time,rolling_average,predicted_price,ds
Litecoin,64.4,65.1,63.64,415496584,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:20:52,8/20/2023 16:21:42,,,
Ethereum,1669.2,1692.84,1663.28,7965414988,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:21:16,8/20/2023 16:22:33,,,
Ripple,0.537795,0.551415,0.515148,1329062339,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:22:01,8/20/2023 16:23:02,,,
Ethereum,1668.48,1692.84,1663.28,7934725245,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:23:09,8/20/2023 16:23:24,,,
Bitcoin,26060,26248,26024,6258747124,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:23:02,8/20/2023 16:23:49,,,
Litecoin,64.43,65.1,63.64,414681850,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:22:54,8/20/2023 16:23:54,,,
Bitcoin,26060,26248,26024,9078119519,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:23:53,8/20/2023 16:24:18,,,
Ripple,0.537536,0.551415,0.515148,1328182397,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:23:03,8/20/2023 16:24:22,,,
Ethereum,1668.26,1692.84,1663.28,7943124101,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:24:11,8/20/2023 16:24:45,,,
Bitcoin,26060,26248,26024,9078119519,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:23:53,8/20/2023 16:25:08,,,
Ethereum,1668.63,1692.84,1663.28,7928833550,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:26:14,8/20/2023 16:26:56,,,
Bitcoin,26065,26248,26024,8942371248,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:28:00,8/20/2023 16:28:32,,,
Ethereum,1668.92,1692.84,1663.28,7928179194,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:28:18,8/20/2023 16:29:00,,,
Litecoin,64.42,65.1,63.64,415272455,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:27:54,8/20/2023 16:29:02,,,
Bitcoin,26066,26248,26024,8931953419,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:29:02,8/20/2023 16:29:49,,,
Bitcoin,26066,26248,26024,8931953419,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:29:02,8/20/2023 16:30:14,,,
